,R1-F1,R1-F1,R1-F1,R1-F1,R1-F1,R1-F1,R2-F1,R2-F1,R2-F1,R2-F1,R2-F1,R2-F1,RL-F1,RL-F1,RL-F1,RL-F1,RL-F1,RL-F1,RLsum-F1,RLsum-F1,RLsum-F1,RLsum-F1,RLsum-F1,RLsum-F1
,1-2,1-3,1-4,2-3,2-4,3-4,1-2,1-3,1-4,2-3,2-4,3-4,1-2,1-3,1-4,2-3,2-4,3-4,1-2,1-3,1-4,2-3,2-4,3-4
paper_id,,,,,,,,,,,,,,,,,,,,,,,,
SP:01e42205f6557cb74e8353f107f246663b193a8c,0.2745098039215686,0.18784530386740328,0.3300970873786408,0.2685185185185185,0.28985507246376807,0.18072289156626506,0.039735099337748346,0.0223463687150838,0.1188118811881188,0.028037383177570093,0.058823529411764705,0.024390243902439022,0.1830065359477124,0.15469613259668508,0.2912621359223301,0.17592592592592596,0.18840579710144928,0.18072289156626506,0.1830065359477124,0.15469613259668508,0.2912621359223301,0.17592592592592596,0.18840579710144928,0.18072289156626506
SP:0239965b691a4526c814b4543649f0831254ed88,0.4,0.3855421686746988,0.2530120481927711,0.3698630136986301,0.3561643835616438,0.2459016393442623,0.09574468085106384,0.10975609756097561,0.06097560975609755,0.09722222222222222,0.08333333333333333,0.05000000000000001,0.2,0.1927710843373494,0.1686746987951807,0.2602739726027397,0.1917808219178082,0.16393442622950818,0.2,0.1927710843373494,0.1686746987951807,0.2602739726027397,0.1917808219178082,0.16393442622950818
SP:023c978ab5d89b69f7efa9681a81f8ef415ced67,0.31007751937984496,0.203921568627451,0.32941176470588235,0.21641791044776118,0.25136612021857924,0.3300970873786408,0.07874015748031496,0.039525691699604744,0.059523809523809534,0.05263157894736841,0.022099447513812154,0.045602605863192175,0.20155038759689925,0.12549019607843134,0.18823529411764706,0.14925373134328357,0.15300546448087432,0.1941747572815534,0.20155038759689925,0.12549019607843134,0.18823529411764706,0.14925373134328357,0.15300546448087432,0.1941747572815534
SP:02513468848dadcff46b177a6b8544e99095d418,0.2957393483709273,0.23703703703703707,0.31034482758620685,0.2918149466192171,0.29900332225913623,0.3372093023255814,0.040302267002518884,0.0373134328358209,0.05555555555555556,0.057347670250896064,0.03344481605351171,0.08235294117647059,0.12531328320802004,0.14074074074074075,0.17931034482758618,0.12811387900355872,0.13953488372093023,0.19767441860465115,0.12531328320802004,0.14074074074074075,0.17931034482758618,0.12811387900355872,0.13953488372093023,0.19767441860465115
SP:0260319f71562dd708e6055c37d4b6969f2a3ad0,0.3481481481481481,0.4585365853658537,0.4105263157894737,0.4332129963898917,0.41984732824427484,0.40609137055837563,0.11194029850746269,0.12807881773399013,0.1276595744680851,0.14545454545454542,0.14615384615384616,0.12307692307692307,0.24444444444444444,0.2146341463414634,0.23157894736842102,0.21660649819494585,0.20610687022900764,0.2639593908629441,0.24444444444444444,0.2146341463414634,0.23157894736842102,0.21660649819494585,0.20610687022900764,0.2639593908629441
SP:0260593a94ae46e9825651c50d94f33bd37e6d53,0.27814569536423844,0.32380952380952377,0.29069767441860467,0.27338129496402874,0.29702970297029696,0.3625,0.040268456375838924,0.05769230769230769,0.08235294117647059,0.058394160583941604,0.10101010101010101,0.10126582278481011,0.17218543046357618,0.1523809523809524,0.16279069767441862,0.1726618705035971,0.2376237623762376,0.21249999999999997,0.17218543046357618,0.1523809523809524,0.16279069767441862,0.1726618705035971,0.2376237623762376,0.21249999999999997
SP:02706e1c3a8fcc422b3f3d2e46ca67a6ec3d018e,0.2416107382550336,0.2654867256637168,0.3194444444444445,0.2790697674418605,0.3842364532019704,0.25149700598802394,0.027210884353741492,0.018018018018018018,0.04225352112676056,0.023529411764705882,0.09950248756218906,0.06060606060606061,0.16107382550335572,0.19469026548672566,0.18055555555555558,0.13953488372093026,0.20689655172413793,0.15568862275449102,0.16107382550335572,0.19469026548672566,0.18055555555555558,0.13953488372093026,0.20689655172413793,0.15568862275449102
SP:02832fd94d32158728931c320620c2684dc9a09d,0.36507936507936506,0.2582417582417582,0.22857142857142856,0.4022988505747126,0.35,0.36986301369863017,0.13297872340425532,0.07182320441988951,0.051724137931034475,0.11627906976744186,0.13924050632911392,0.08333333333333333,0.20105820105820105,0.1703296703296703,0.11999999999999998,0.21839080459770116,0.25,0.1917808219178082,0.20105820105820105,0.1703296703296703,0.11999999999999998,0.21839080459770116,0.25,0.1917808219178082
SP:02d9d7f58ec6076388353f4d6a60c7b8c8a79cb6,0.3826086956521739,0.3540983606557377,0.3033175355450237,0.29596412556053814,0.3875968992248062,0.24509803921568626,0.11403508771929825,0.04620462046204621,0.09569377990430622,0.05429864253393665,0.09448818897637795,0.05940594059405941,0.2,0.17049180327868851,0.1895734597156398,0.14349775784753363,0.186046511627907,0.12745098039215685,0.2,0.17049180327868851,0.1895734597156398,0.14349775784753363,0.186046511627907,0.12745098039215685
SP:0309aca15a888219390dcd26e0aa2413f8d42927,0.26241134751773054,0.28571428571428575,0.17424242424242425,0.31707317073170727,0.15,0.1506849315068493,0.028571428571428574,0.032679738562091505,0.030534351145038167,0.037037037037037035,0.01694915254237288,0.041666666666666664,0.12056737588652482,0.14935064935064937,0.12121212121212122,0.18292682926829268,0.08333333333333333,0.12328767123287672,0.12056737588652482,0.14935064935064937,0.12121212121212122,0.18292682926829268,0.08333333333333333,0.12328767123287672
