,Bert_Rescale,Bert_Rescale,Bert_Rescale
,1-2,1-3,2-3
paper_id,,,
SP:02ab00b231a70c6fd32871327324b12b4d9f8162,0.058031219989061356,0.09562213718891144,0.1909341961145401
SP:02ba901546ffc1c772ab1fc0001346501ea341b9,0.18354816734790802,0.13911543786525726,0.0184481218457222
SP:02bacdd4079c2ae2fa150e1deb7a55f3e87b6b75,0.32941535115242004,0.3766285181045532,0.3162851333618164
SP:02bc759eabcd069bc67c0f50daa6fe99f82779f0,0.1817668080329895,0.24728965759277344,0.1318872720003128
SP:02d6c9e2f48266ca08bfd97f1dbe31d7d03d8693,-0.029596738517284393,0.05249999836087227,0.046760763972997665
SP:02e31158fd91d26b286fe04d7666d8cdacb3fcc4,0.25115254521369934,0.1466550976037979,0.1768832951784134
SP:03740735c9438a80dc535158584a61a07d04c7ff,0.08043122291564941,0.18344327807426453,0.11993450671434402
SP:037f232001bde6b7ed8ad12dc14a2abd5d9eb879,0.10284888744354248,0.20835496485233307,0.10356616228818893
SP:038a1d3066f8273977337262e975d7a7aab5002f,0.10461116582155228,0.1222851574420929,0.0638040080666542
SP:03a10ca1c5c7b5d974354c2d9936bf95f348e3e9,0.15562647581100464,0.22942355275154114,0.20289720594882965
SP:03a49b809372e9c0ab1d67cf3e5b99088c6f9552,0.29441311955451965,0.17213855683803558,0.17600567638874054
SP:03a91b6d9387688912b98ce5a5b470a5ddef431b,0.3327767550945282,0.2922256290912628,0.1901826560497284
SP:03bb083ccd750a6ffc7b2e97796bbc37fd7c5cb0,0.02289619669318199,0.032617684453725815,-0.011121776886284351
SP:03d20ab51bdf92c9debe0ab0631bf6493025fbdf,0.0639675185084343,0.11164579540491104,0.09131038188934326
SP:03fd27c6a1e0c015dbd52eb08dac258efeaba5b1,0.2793405055999756,0.16178278625011444,0.29486870765686035
SP:0407c8a67836d9fd9514b7c6fe438dba9061be9b,0.17220637202262878,0.1233690083026886,0.03617049381136894
SP:04163ff9d5becea23713806add21b4aaab7a4b8e,0.095774345099926,0.11024551093578339,0.14462335407733917
SP:042b13c9976a26c0529a9581c5c1f5153b2770b1,0.13086064159870148,0.16265474259853363,0.24115805327892303
SP:046f850f529bcb0c2376c8597a24108d67c4323a,0.09174441546201706,0.11341054737567902,0.20858170092105865
SP:047ebda9f8166b5f44783e8774ceac5a472223a3,0.06886658072471619,0.10290009528398514,0.08820290863513947
SP:0495fdb17c2373f94a4c781405d95bdaba4b3f9b,0.07162583619356155,0.2073163092136383,0.1393457055091858
SP:049a08148746e9024f00db4e5b05154208f6b80b,0.1631173938512802,0.1657106578350067,0.13468925654888153
SP:04d8d19a1a8868769e3e9f3566e1beda271be578,0.2711920142173767,0.2962287366390228,0.20301055908203125
SP:04e877c3e88c11dadcf74e627ecfccde8d18079d,-0.023209450766444206,0.052020758390426636,0.2164204716682434
SP:04fb345a18b48db4cdbf9119aaf07838a4e4e973,0.16260354220867157,0.16340133547782898,0.16205932199954987
SP:0509b134a428507f115bcde7e7e780df4c9c95ac,0.22478900849819183,0.2793652415275574,0.20027144253253937
SP:0536b15b3f25d29ed9976b178e9d13ee43a080c2,0.1927766352891922,0.2069207727909088,0.11306127160787582
SP:05371cbf2ccd7358e78fb9aebdedbb29a324058e,0.31681737303733826,0.22134779393672943,0.21593594551086426
SP:0539a16e1cdc93d77263a94bf54bf9dfd2c6e5c8,0.247767835855484,0.11282677203416824,0.1139441728591919
SP:05723827c0ceb4c272b0973a89eb7d6d6bbca489,0.2590019106864929,0.23629114031791687,0.13836532831192017
SP:0610dcfdc8985bc670d7bcfe17712e8d76899241,0.0991399809718132,0.11289422959089279,0.1493532508611679
SP:06834fbbd4250528b3d07dc5a543de02c44cbc86,0.1361626535654068,0.2106473445892334,0.17745435237884521
SP:06c6269a39dae7127f7f54483c75131388a10738,0.08808424323797226,0.14273394644260406,0.18241627514362335
SP:06f6878f1ca66ce07d68f761edf2651cf9046c4d,0.10354426503181458,0.26633143424987793,0.058037225157022476
SP:0731025a467f9c3e648608248eada5a23aff5b49,0.14511072635650635,0.09212194383144379,0.10076946765184402
SP:07478ff01da03c456b44a04f251e59daa364677a,0.1345730721950531,0.06610803306102753,0.11091510951519012
SP:075222515d247ab5a2b691fa625741c5e2c9f2b9,0.1911994218826294,0.147817000746727,0.14548613131046295
SP:076898f821bfc32da0628c5df1617abd3ab53a80,0.15859514474868774,0.13431032001972198,0.16769365966320038
SP:077e63b28356b13b5309d4dae177b22d04636903,0.18006739020347595,0.09264709800481796,0.17578142881393433
SP:07a01f5f9f0d845cc511786cae88c761bc90ca26,0.24528193473815918,0.2346319854259491,0.3208628296852112
SP:07a816122676dbd94ebabca5fadf3c3e5ff1126b,0.22244541347026825,0.19765804708003998,0.14088654518127441
SP:07ac9e734f72eff0636e4e1f94c55a2999dad442,0.1732153445482254,0.3633962571620941,0.11919781565666199
SP:07bcf06ee98f73a12e1b49851490648bc71699aa,0.10673967003822327,0.13103686273097992,0.10365232825279236
SP:07c3fa9b3e829fdea072403075958744a262fd49,0.14150600135326385,0.1221131682395935,0.11004561930894852
SP:07cd3910143d1395958a8d3c3f59e1a0b06d7c3d,0.16513924300670624,0.2087240219116211,0.08688667416572571
SP:07eaf1f200dade5de983892c4cb71eaa03261d55,0.2972108721733093,0.22055388987064362,0.1972045749425888
SP:07fb896a2a2a3a16e69ebd2f6eb26892d6022d4d,0.11080139130353928,0.0855446606874466,0.06296877562999725
SP:0815b30a2fe5dae7680a618863700ab47a5f991a,0.25154244899749756,0.2640288174152374,0.2909323573112488
SP:0835570f665e2b11bbac182c1519e629fe77fa47,0.2752784490585327,0.2497028112411499,0.28451892733573914
SP:0856c81319cd9dbbefc91f8357a04c664bd084b5,0.2143869698047638,0.16238811612129211,0.25578954815864563
SP:086dabce4a95956102191b52c4268fa344fc794c,0.05220510810613632,0.15870322287082672,0.04403188079595566
SP:08785b4f1fefbac415b8f6742db42b04cc5fea8a,0.1852256804704666,0.20830374956130981,0.14658482372760773
SP:0978203d0a8d98578d721061cca1528b55a23769,0.13635794818401337,0.16597552597522736,0.0898585319519043
SP:0985dd02b8cdee5d5d277763390dfe3594a2fa65,0.14923247694969177,-0.009345725178718567,0.03513820469379425
SP:0993bb3320aea46c49ec5afe897567a5ecd220ae,0.16181987524032593,0.27455198764801025,0.20711606740951538
SP:099cb12ac8ffe1e09ba4ff99a263194e7372c137,0.03394734114408493,0.03019005060195923,0.14598727226257324
SP:09f9b91a5d710027fd6f62beddf4855b5359d8f4,0.11014768481254578,0.010132569819688797,0.13934746384620667
SP:0a004903f074e27f7f25aea8fe76490e7eb085fe,0.41781356930732727,0.11094371229410172,0.09170980751514435
SP:0a176b5367df631455b88c25007fcf8e6194a0f0,0.08354894071817398,0.1373312622308731,0.15263554453849792
SP:0a31d804566fe14afc6b04c0ba86d755e18c6d69,0.058017801493406296,0.019173163920640945,0.04975522309541702
SP:0a58694abd6898a925b1d917ad2a68eefd0567e9,0.18222592771053314,0.23815760016441345,0.055601466447114944
SP:0a76014ee40b27b51b193b80a668a697f97461ea,0.03506792336702347,0.12543782591819763,0.06989534199237823
SP:0abbc305798ab9f60aa241cbe27eecd98a0d69fa,0.09969515353441238,0.24178174138069153,-0.0033613955602049828
SP:0ac72e19e658e9624b79e078c0d1a5b76ab915fb,0.30907535552978516,0.3011782765388489,0.3006252348423004
SP:0ac9fb146e42a3eab0bc3f13a71c74445a49b730,0.011863064020872116,0.0011354157468304038,0.2470671683549881
SP:0ad7d52c999ff8a562e0f8407cc3176d0cc4b726,0.14055705070495605,0.12707191705703735,0.03382585197687149
SP:0b058184db5e97fce5bed580f3709d6fe67af6a9,0.07964367419481277,0.10949857532978058,0.18248090147972107
SP:0b632b56196e11cb6aac6b891e2416e13dd52724,-0.1715332418680191,0.2523864805698395,-0.08604508638381958
SP:0b6c63acb153ad5dda4bb9db2a106aa6072aea83,0.026184488087892532,0.16478148102760315,0.014673526398837566
SP:0b8ee1b00665d1bfec7342a1eefb0caf5521bbae,0.02308407798409462,0.0111553268507123,0.02678062580525875
SP:0b9e20264593a59b421d2bdd71ff61d11fc25586,0.11883441358804703,0.10766177624464035,0.13381659984588623
SP:0b9f7b1494804fd4573ee54bae5c81b42a590f47,0.16473804414272308,0.1432816982269287,0.1388940066099167
SP:0bb1dc14e8ced49c047fe8ae3a491dc30a7b1a3d,0.13677610456943512,0.12969554960727692,0.23970408737659454
SP:0bc3eb9022a39f1bf9770699468b667c3f09d4d3,0.09491227567195892,0.10556434839963913,0.1914900690317154
SP:0bd78e3c9a194b1915a7300ef332ea57d69bd27d,0.20596300065517426,0.2456326186656952,0.1868053674697876
SP:0c0358ba5e6e771c7684604f3163516c7f38d6eb,0.14848588407039642,0.11294896900653839,0.11790206283330917
SP:0c0f4862966a6374c299012d302bb95e7dc88dea,0.12952497601509094,0.08712011575698853,0.23043040931224823
SP:0c10e26065a75b1d10302b8cc505a4054e1a5cba,0.29488423466682434,0.13475389778614044,0.31718218326568604
SP:0c47994b5a49da1dd99fcc2891bc72863f58c31c,-0.23343724012374878,-0.29128551483154297,0.2065075784921646
SP:0c648598ec1178aec871679117a419bb4c50eea9,0.16674859821796417,0.23965464532375336,0.2587840259075165
SP:0c68060a24ee60fd8bd25202ddf59300a58bb952,0.07779593020677567,0.09612397849559784,0.1889398843050003
SP:0c944d2a721b4c694631eb1098acbb38de2bfd7e,0.0564412847161293,0.04743989184498787,0.17927773296833038
SP:0cca38c3b824ab3e789e47aff6e5c9fc67b1fb1c,0.08026877045631409,0.2330130934715271,0.20630767941474915
SP:0ccb4bb34a72f98c86bc9c0cfafff1b9a042afd9,0.035775307565927505,0.1324339658021927,-0.017176738008856773
