,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale
,1-2,1-3,1-4,2-3,2-4,3-4
paper_id,,,,,,
SP:067094eb895cfb0284a0caf20936d7e14d67a83f,0.042724475264549255,-0.003794018877670169,0.052982065826654434,0.1639932245016098,-0.009189627133309841,0.0022708314936608076
SP:0749dc4e8d674165f59674dfb27595e14a8579bf,0.2182837575674057,0.44040074944496155,0.20195990800857544,0.1887110322713852,0.14244717359542847,0.22071139514446259
SP:075a0f5059375273cf164aa933c57ea6fb458b51,0.24625419080257416,0.2688222825527191,0.1608726978302002,0.22348690032958984,0.15604743361473083,0.14435848593711853
SP:07608ef77f2d3d1e6ec32e9756ec5f0be8684d18,0.1360655426979065,0.12690593302249908,0.15438368916511536,0.16254597902297974,0.10662418603897095,0.22419993579387665
SP:07773157ab0268944c905da340164535baa7df96,0.024569831788539886,0.12842099368572235,0.12786512076854706,0.20558829605579376,0.19699056446552277,0.36855772137641907
SP:07a8240bbbb9c1de11e1ba295a033f43cf2fe93f,0.26324692368507385,0.3270975649356842,0.2483067661523819,0.32604900002479553,0.18956004083156586,0.18186993896961212
SP:07bf013733ebff776af0148f30b28cc6c77a7b33,0.1354302018880844,0.10863438993692398,0.1549685299396515,0.08196289092302322,0.13677892088890076,0.08093977719545364
SP:08945ecebc73e7b3bd9dd2ae47c0d94311fb69b9,0.04229644313454628,0.21214157342910767,0.19244572520256042,0.18129746615886688,0.06292463093996048,0.13631027936935425
SP:08a291fdb9d394c11dbe0ed0a454be951740491f,0.13029062747955322,0.19273284077644348,0.10833737999200821,0.18294107913970947,0.23798984289169312,0.13311557471752167
SP:08f4cb10c1ccf3885e7cc5ee10a24615ac74bc69,0.24419242143630981,0.22802573442459106,0.20466618239879608,0.17635849118232727,0.18601252138614655,0.14045710861682892
SP:092f3b4cf74f66907abe82f4d528d0af5d19fd74,0.1526588499546051,0.10015532374382019,0.07429185509681702,0.12613214552402496,0.1602790206670761,0.09885992109775543
SP:095d27873ce7f48cbaba835589a8202b75104924,0.15844647586345673,0.12263301759958267,0.175699844956398,0.08368102461099625,0.1544875204563141,0.23626041412353516
SP:096121f11ca65612b8204b952097699aab1cab01,0.10028210282325745,0.0339784175157547,0.18954519927501678,0.040144626051187515,0.10579037666320801,0.09002169221639633
SP:0965e7ac3664634b5cfdc7acd2acd6057b0d0927,0.10519635677337646,0.18085035681724548,0.1886061429977417,0.18475139141082764,0.35564327239990234,0.23796971142292023
SP:097596ab2b4f87852126f755cf70ec66e5c6a9f4,0.13018998503684998,0.29842716455459595,0.11589645594358444,0.14509446918964386,0.062383588403463364,0.1698744297027588
SP:097676b70983ff006342997928f26a7ab4eb36f7,0.20032335817813873,0.2743602395057678,0.1882777065038681,0.21870578825473785,0.1256161779165268,0.13317455351352692
SP:09bb1ac6ec98450c2decddd7db64c80a703c8716,-0.004556848667562008,0.05875025689601898,-0.05925704538822174,0.28253909945487976,0.2743058502674103,0.24323676526546478
SP:09e78591958a3d9f6c27dbc76114c731b3be4108,0.2051662653684616,0.17471522092819214,0.11138445883989334,0.15615515410900116,0.28558725118637085,0.0697908103466034
SP:0a3be0e67b80f13fd2e7fdc523f0a8e78fe289dd,0.2273363620042801,0.10673967003822327,0.1092132180929184,0.2401307076215744,0.2907116413116455,0.2308044135570526
SP:0a79d57d55650ede0193daa2499d0fe3f4d68f4b,0.019206007942557335,0.18965467810630798,0.17360736429691315,0.18560002744197845,0.11304926127195358,0.16893820464611053
